#separator:Semicolon
#html:false
#columns:Simplified;Traditional;Reading
#notetype:Simplified
#deck:simp_vs_trad
万世流芳;萬世流芳;wan4shi4-liu2fang1
下场;下場;xia4chang5
与;與;"yu3; yu4"
与否;與否;yu3fou3
专门;專門;zhuan1men2
世间;世間;shi4jian1
丢尽;丟盡;diu1jin4
严查;嚴查;yan2cha2
丧心;喪心;sang4xin1
丧心病狂;喪心病狂;sang4xin1bing4kuang2
义;義;yi4
为此;為此;wei4ci3
乐;樂;le4
习惯;習慣;xi2guan4
买;買;mai3
乱;亂;luan4
乱葬岗;亂葬崗;luan4zang4gang3
了无;了無;liao3wu2
于;於;yu2
亲;親;qin1
仅;僅;jin3
会心;會心;hui4xin1
传;傳;chuan2
伤;傷;shang1
佳话;佳話;jia1hua4
依据;依據;yi1ju4
修炼;修煉;xiu1lian4
偷得浮生半日闲;偷得浮生半日閑;tou1 de5 fu2sheng1 ban4ri4 xian2
偿;償;chang2
六亲不认;六親不認;liu4qin1bu4ren4
兰;蘭;lan2
兴趣;興趣;xing4qu4
具体;具體;ju4ti3
养;養;yang3
养伤;養傷;yang3shang1
兽;獸;shou4
内;內;nei4
准确;準確;zhun3que4
几;幾;ji1
几乎;幾乎;ji1hu1
凡间;凡間;fan2jian1
凶神恶煞;凶神惡煞;xiong1shen2e4sha4
办;辦;ban4
办事;辦事;ban4shi4
务;務;wu4
十恶不赦;十惡不赦;shi2e4bu4she4
华;華;hua2
华章;華章;hua2zhang1
卫;衛;wei4
却;卻;que4
厉;厲;li4
厉鬼;厲鬼;li4gui3
压顶;壓頂;ya1ding3
厌;厭;yan4
厌恶;厭惡;yan4wu4
发现;發現;fa1xian4
古国;古國;gu3guo2
召唤;召喚;zhao4huan4
后;後;hou4
否则;否則;fou3ze2
含血喷人;含血噴人;han2xie3pen1ren2
吹拉弹唱;吹拉彈唱;chui1-la1-tan2-chang4
告状;告狀;gao4zhuang4
唾骂;唾罵;tuo4ma4
围剿;圍剿;wei2jiao3
坛;"tan2
壇

<hr style='width: 30%'><hr style='width: 30%'>

tan2
罈";"tan2; tan2"
坠落;墜落;zhui4luo4
垂爱;垂愛;chui2ai4
城墙;城牆;cheng2qiang2
处;處;"chu3; chu4"
备;備;bei4
复;"fu4
復

<hr style='width: 30%'><hr style='width: 30%'>

fu4
複";"fu4; fu4"
复位;復位;fu4wei4
复活;復活;fu4huo2
夙愿;夙願;su4yuan4
