#separator:Semicolon
#html:false
#columns:Traditional;Reading;Definition;Simplified;tag
#notetype:Chinese (Trad and Simp)
#deck:tianguancifu
位列;wei4lie4;to rank;;hsk3
暗;an4;"STATIC VERB

dark; dim; dull 這間屋子太暗。 Zhèi jiān wūzi tài àn. This room is too dark.

<hr style='width: 30%'>

BOUND FORM

1 hidden; secret; unclear in ànhào

2 secretly in ¹àn'àn , ànshā";;hsk4
敗;bai4;"VERB

1 lose; be defeated

2 beat; defeat

3 spoil 這事兒很可能敗在他手裡。 Zhè shìr hẹ̌n kěnéng bài zài tā shọ̌u lǐ. He may spoil the whole show.

4 counteract

5 decay";败;hsk4
班;ban1;"NOUN

1 class; team

2 shift; duty

3 mil. squad

4 Surname

<hr style='width: 30%'>

NOMINAL MEASURE WORD

(for crowds and scheduled transport vehicles)

<hr style='width: 30%'>

BOUND FORM

scheduled; regular in bānchē";;hsk3
貶謫;bian3zhe2;"VERB

, trad. banish from court";贬谪;
博;bo2;"BOUND FORM

abundant; plentiful in bó'ài , bódà

<hr style='width: 30%'>

VERB

win; gain";;hsk3
步履;bu4lü3;"NOUN

walk; gait";;hsk3
彩;cai3;"BOUND FORM

1 color; colors in combination in wụ̌cǎi

2 brilliance; splendor in jīngcǎi

3 prize in tóucǎi

4 blood from a wound in guàcǎi";;hsk3
曾;zeng1;"BOUND FORM

separated by two generations; great-(grandfather, grandchild, etc.) in zēngzǔfù , zēngsūn

<hr style='width: 30%'>

NOUN

Surname See also ²céng";;hsk4
城;cheng2;"NOUN

1 wall

2 city wall

3 city; town";;hsk3
城牆;cheng2qiang2;"NOUN

city wall

M: dǔ / 堵";城墙;hsk7-9
穿;chuan1;"VERB

1 penetrate; pierce through

2 pass through; cross 穿過這片樹林就到了。 Chuānguò zhè piàn shùlín jiù dào le. We'll reach our destination after passing through the woods.

3 wear; put on; be dressed in 這雙鞋穿舊了。 Zhè shuāng xié chuānjiù le. These shoes are showing their age.";;hsk3
傳;chuan2;"VERB

1 pass (on); hand down 把經驗傳給下一代。 Bǎ jīngyàn chuán gěi xiàyị̄dài. Pass on the experience to the next generation.

2 impart; teach

3 spread

4 infect; be contagious

<hr style='width: 30%'>

BOUND FORM

1 transmit; conduct 金屬傳熱比塑料快。 Jīnshǔ chuánrè bǐ sùliào kuài. Metal conducts heat faster than plastic does. in chuándiàn

2 summon

3 convey; express in chuánqíng See also ³zhuàn";传;hsk7-9
賜;ci4;"wr.  

<hr style='width: 30%'>

BOUND FORM

1 give; grant; favor in cìyǔ

2 gift in hòucì";赐;hsk7-9
匆匆;cong1cong1;"REDUPLICATED FORM

1 hurriedly

2 obviously; apparently";;hsk7-9
道;"dao4; dao3";"dao4
NOUN

road; path

<hr style='width: 30%'>

NOMINAL MEASURE WORD

1 (for rivers/topics/etc.)

2 (for a course (of food); a streak (of light); etc.)

<hr style='width: 30%'>

VERB

1 say; speak; talk (introducing direct quote, novel style)
	a 常言道 chángyán dào as the saying goes b 他說道: “…” Tā shuōdào: “...” He said: “...”

2 think; suppose

<hr style='width: 30%'>

BOUND FORM

1 channel

2 way; reason; principle

3 doctrine

4 Daoism

5 line

6 hist. district; circuit

7 canal; passage; tube

8 say (polite words) in dàoxiè See also ⁴dāo ⁴dǎo

<hr style='width: 30%'><hr style='width: 30%'>

dao3
BOUND FORM

1 guide; lead in yị̌ndǎo

2 transmit; conduct in bàndạ̌otǐ

3 instruct; direct in zhị̌dǎo See also ⁴dāo ²dào";;hsk3
殿;dian4;"NOUN

hall; palace; temple

<hr style='width: 30%'>

BOUND FORM

the rear in diànjūn";;hsk3
鼎;ding3;"NOUN

1 ancient three-legged round (occasionally four-legged and rectangular) cauldron with two “ear”-shaped handles

2 topo. pot; cauldron

3 Surname

4 name of one of the Sixty-four Hexagrams (䷱)";;hsk3
鬥;dou4;"VERB

1 fight

2 vie

3 denounce

4 purge

5 make animals fight (as a game)

6 topo. discuss; talk over; consult

7 topo. fit together See also ³dǒu";斗;hsk7-9
惡;e4;"NOUN

evil

<hr style='width: 30%'>

STATIC VERB

fierce See also ě ⁷wù";恶;hsk7-9
非凡;fei1fan2;"STATIC VERB

outstanding; extraordinary; uncommon";;hsk7-9
俯瞰;fu3kan4;"VERB

look down at; overlook";;hsk3
更;"geng4; geng1";"geng4
ADVERB

1 more; still/even more

2 further; furthermore See also ¹gēng

<hr style='width: 30%'><hr style='width: 30%'>

geng1
BOUND FORM

1 change; replace; transform in gēnggǎi

2 experience; undergo in bù gēngshì

<hr style='width: 30%'>

NOUN

the five two-hour periods of night See also gèng";;hsk3
孤;gu1;"BOUND FORM

1 orphaned in gū'ér

2 solitary; isolated; alone in ¹gūdú

<hr style='width: 30%'>

PRONOUN

, hist. I; me (the emperor/prince)";;hsk3
古國;gu3guo2;"NOUN

country with a long history

M: ge / ⁴zuò / 個 / 座";古国;
華;hua2;"BOUND FORM

1 glory; splendor in guānghuá

2 essence in ¹jīnghuá

3 China in Huáběi

4 gray (of hair) in huáfà

<hr style='width: 30%'>

ATTRIBUTIVE

, court. , wr. your See also Huà";华;
黃;huang2;"STATIC VERB

1 yellow

2 spoiled; withered

<hr style='width: 30%'>

VERB

, coll. fizzle out; fall through

<hr style='width: 30%'>

NOUN

Surname";黄;hsk3
黃金;huang2jin1;"NOUN

gold

M: ²kuài / 塊";黄金;hsk4
華章;hua2zhang1;"FIXED EXPRESSION

, court. your beautiful/brilliant writing/work";华章;
毀;hui3;"VERB

1 destroy; ruin 他把機要文件給毀了。 Tā bǎ jīyào wénjiàn gẹ̌i huǐ le. He destroyed confidential documents.

2 topo. refashion; make over

<hr style='width: 30%'>

BOUND FORM

1 burn up

2 defame; slander in huǐbàng";毁;hsk6
禍;huo4;"NOUN

misfortune; disaster; calamity

M: ²jiàn / 件

<hr style='width: 30%'>

VERB

bring disaster to; ruin";祸;
即;ji2;"VERB

1 approach; reach; be near

2 assume; undertake

3 wr. be; mean

<hr style='width: 30%'>

BOUND FORM

prompted by the occasion in jíjǐngshēngqíng

<hr style='width: 30%'>

ADVERB

1 at present; in the immediate future; then

2 wr. promptly; at once

3 namely

<hr style='width: 30%'>

CONJUNCTION

even though/if";;hsk7-9
佳話;jia1hua4;"NOUN

1 charming/much-told tale

2 a deed worthy of widespread praise

M: ge / duàn / 個 / 段";佳话;
將;"jiang1; jiang4; qiang1";"jiang1
VERB

1 wr. take

2 wr. handle

3 checkmate

<hr style='width: 30%'>

COVERB

(introducing object of main verb) 將門關上。 Jiāng mén guānshang. Close the door.

<hr style='width: 30%'>

ADVERB

1 about to; will soon

2 partly ... partly ...
	將信將疑 Jiāngxìnjiāngyí half believing, half doubting See also ⁴jiàng ⁶qiāng

<hr style='width: 30%'><hr style='width: 30%'>

jiang4
NOUN

1 commander-in-chief

2 chess piece corresponding to the king (usu. black) See also ²shuài

<hr style='width: 30%'>

BOUND FORM

general in shàngjiàng

<hr style='width: 30%'>

VERB

, wr. command; lead See also ¹jiāng ⁶qiāng

<hr style='width: 30%'><hr style='width: 30%'>

qiang1
BOUND FORM

desire; invite; request in qiāngbó See also ¹jiāng ⁴jiàng";将;hsk5
劫;jie2;"wr.  

<hr style='width: 30%'>

BOUND FORM

1 rob; plunder; raid in ¹qiǎngjié

2 coerce; compel in jiéchí

3 disaster; misfortune in ¹hàojié";;hsk7-9
界;jie4;"BOUND FORM

1 boundary in ¹jièxiàn

2 scope; extent in yǎnjiè

3 circles; group; division in kēxuéjiè See also ⁸gā ²gà";;hsk6
祭天;ji4tian1;"VERB

OBJECT CONSTRUCTION

offer sacrifice to Heaven";;hsk3
樂;le4;"VERB

1 be glad to; enjoy 我心裡樂開了花。 Wǒ xīnli lèkāile huā. My heart burst with joy.

2 topo. laugh; be amused

<hr style='width: 30%'>

STATIC VERB

happy; joyful

<hr style='width: 30%'>

NOUN

Surname (not the same name as Yuè) See also ⁵yuè";乐;
簾;lian2;"BOUND FORM

curtain in chuānglián See also ¹¹lián";帘;
零;ling2;"NUMBER

1 zero

2 naught; nil

<hr style='width: 30%'>

BOUND FORM

1 odd; a little extra in língtóu

2 fractional; part in língshù

3 small change in ¹língqián

4 (mechanical) part in ¹língjiàn

5 wither and fall in ¹língluò See also līng";;hsk3
留;liu2;"VERB

1 remain; stay

2 ask sb. to stay

3 reserve; keep; save 這是留給你的。 Zhè shì liú gẹ̌i nǐ de. This is kept for you.

4 (let) grow

5 accept; take

6 leave (sth.)";;hsk3
滿天;man3tian1;"PLACE WORD

the whole sky";满天;
民風;min2feng1;"NOUN

1 social mood

2 social/popular customs

3 folkways; local traits";民风;
幕;mu4;"NOUN

1 curtain; screen; tent

2 hist. office of a commanding general

<hr style='width: 30%'>

NOMINAL MEASURE WORD

, thea. act";;hsk7-9
念;nian4;"VERB

1 wr. think of; miss

2 read aloud 這個字怎麼念? Zhèige zì zěnme niàn? How do you read this character?

3 study; attend school 我念中學了。 Wǒ niàn zhōngxué le. I'm in middle school now.

<hr style='width: 30%'>

BOUND FORM

1 thought; idea in niàntou

2 care; remembrance in huáiniàn";;hsk3
弄;nong4;"VERB

1 play with

2 make; do; handle; engage in 你弄這個, 我弄那個。 Nǐ nòng zhèige, wǒ nòng nèige. You see to this and I'll see to that. 他把孩子弄哭了。 Tā bǎ háizi nòng kū le. He made the baby cry.

3 obtain; get; fetch 給我弄張票, 好嗎? Gẹ̌i wǒ nòng zhāng piào, hǎo ma? Would you get me a ticket?

4 play tricks See also lòng";;hsk3
橋;qiao2;"NOUN

bridge";桥;
奇男子;qi2nan2zi3;"NOUN

a remarkable man";;hsk3
趣;qu4;"BOUND FORM

1 interest; delight in qùwèi

2 bent; inclination in ¹zhìqù

3 interesting; entertaining in yǒuqù";;hsk3
如雲;ru2yun2;"VERB

PHRASE

1 cloudlike

2 many; full";如云;
